ko_to_pathway_prokaryotes	SRS012273	SRS011134	SRS011061	SRS011239
ko00965	0.018220181872543286	0.0009283980339563336	0.0005750806241128761	0.004212571711333596
ko00966	0.09234862247317392	0.08635599125701517	0.11823150615683255	0.09985271801330699
ko00970	21.499608741425803	20.923789569432877	21.230379235221694	21.051853103812306
ko00980	0.011746965164975186	0.02989055425789892	0.0070837901138172555	0.09269124676857028
ko00981	0.007516068161569588	0.004330307113450659	0.0019061325397413077	0.0024291947766642607
ko00982	0.011706639599372187	0.005457896500946966	0.006213153796386453	0.014340648886971698
ko00983	2.003038689528158	2.0728461878319444	2.4355596240887376	2.4070071849674846
ko00984	6.28562414434455e-05	8.965689680792998e-05	7.817036661891938e-05	1.7622451199805537e-05
ko01040	0.019852138027728117	0.011162716242621084	0.01236857999327368	0.019354970792697886
ko01053	0.07397294904926224	0.05917180526627893	0.044800538142730446	0.055312393320017424
ko01056	3.094158764720229e-05	3.382298705880416e-05	3.240183552599944e-05	6.083305778901994e-05
ko01059	2.0096225674513895e-05	0.00010676745982465274	0.0005651449155551425	0.0
ko01100	81.05832597972238	75.48113805507758	107.786022810872	96.7304146864914
ko01110	23.95244936122508	22.283043340276667	29.754223892018906	27.397254840507518
ko01120	13.573823489079933	11.40987750145422	15.90272589475871	14.185188509782622
ko01130	17.52553848291955	16.565320007223317	22.489031580108364	20.32987911247817
ko01200	6.6070852719616076	6.06080864058925	7.907568556371196	7.330459831340396
ko01210	1.8008968119420972	1.7275925585444336	2.2678791589622653	1.9737469598197548
ko01212	1.8223548346163945	1.624968103035663	2.7057824646594932	2.2562208795461762
ko01230	10.574504213257752	9.81149929128439	12.364653561584262	11.670436921774337
ko01501	3.615174968638661	2.9010730007139083	4.844601366015295	4.942952881513341
ko01502	1.490771606542853	1.3455510473225811	1.4344003298697947	1.3245296837944944
ko01503	2.4563207723416562	1.902037862654808	3.59380234189958	3.65511388253636
ko01523	0.6642630277739678	0.6730343611400628	0.9425425751893753	0.9328702321552516
ko02010	30.019156435975155	23.393109246571306	22.225315429467106	23.199742419367084
ko02020	10.432111611690882	8.39287746092002	10.217251413233786	10.436877193197235
ko02024	8.181383055281168	6.7006208741190285	6.555053226693226	6.4455781896616955
ko02025	0.38677058485412863	0.24512174451895918	0.3034275103842391	0.20082672855065534
ko02026	2.007843967974019	1.545608073444312	3.173295970431477	2.2313684699880043
ko02030	0.7648374784029963	0.9354385882881767	0.6263524812995507	0.4240864700587593
ko02040	1.1515131199555346	1.288011509278939	0.614056897893162	0.40461751581572125
ko02060	1.5344252957209776	1.158973234509663	0.36745343119015517	0.5513380082551425
ko03010	50.564126071978336	53.18399229878035	50.58491689868134	50.174791919828685
ko03018	7.41738467924421	7.279150000914257	8.808484831698975	8.245965688894959
ko03020	3.5175273424864804	3.563249742724916	3.8348923916312945	3.5441138635562766
ko03030	5.789173150309565	4.991091059041616	6.077462705031393	6.111532349208255
ko03050	0.0022382530749511225	0.0015885532015560257	4.671196827273052e-05	0.0022952863140577712
ko03060	4.465272465109199	4.060183221549035	6.322550057318328	5.032764180011591
ko03070	5.801298763278368	4.616054599116273	4.1684638652688975	4.000645915206843
ko03410	6.097632803369454	5.378309912313708	5.256286388973165	5.642023631373136
ko03420	5.389770861954047	4.962628279444035	5.30603799184618	5.060273454335314
ko03430	7.3512651654980985	6.288441119759973	7.5062185125373775	7.172140649612668
ko03440	11.109806489190433	10.013460318609653	10.984520659406005	11.434122797274592
ko03450	0.03627916011146548	0.027583008707646673	0.024107590029746773	0.01642345780287569
ko04112	6.43712717130953	5.954792207357456	6.487105748633503	6.79672722725575
ko04122	2.2321555952598993	2.0134286055589596	2.0864635417576567	2.642619174192333
ko04146	0.7071093554794656	0.5937117916027292	0.8884403685180132	0.7754547446885357
ko04212	1.5786328962424934	1.5623299443479794	1.615556033880181	1.54952180489849
ko04213	0.9116655697567498	1.0727742247842205	1.1508137751167191	1.1287203730014932
ko04614	0.13973153626992751	0.11763634300774994	0.3697706192420885	0.12608346276088694
ko04922	0.42064090937775267	0.39711785775888836	0.4367262195291394	0.40865438709081475
ko04964	0.08994126572791034	0.08078405734183348	0.16594202332360186	0.1380078241226969
ko05111	1.695095479265884	1.605849182717945	2.5983727177511344	2.2845829218266482
ko05131	0.00120620225995189	0.0	0.0	0.0
ko05134	1.440217512948946	1.479559729041556	1.472631723041763	1.467412990991464
ko05230	0.3206202818197013	0.27653168236890113	0.4496785183082773	0.4451102509605567
