ko_to_module_prokaryotes	SRS012273	SRS011134	SRS011061	SRS011239
M00734	0.0004958398205295738	0.0005036319606016302	5.732073594173445e-05	3.094352968995795e-05
M00737	0.0016527679531496582	0.0021751944737386456	0.0012167972087097011	0.0007753523046885268
M00738	0.0012199350107517085	0.000855529814855045	9.231680287555407e-05	0.00022567739202973742
M00739	0.025407824649108516	0.0033213125037643413	0.0010633858596723433	0.0023375039619786303
M00740	0.5622368723576133	0.5595075341651651	0.6548562495692144	0.626642558216942
M00741	0.5879409837224776	0.4706983584667167	0.9471541350440315	0.7345353016632559
M00742	1.3205449796330437	1.2403209463900708	0.9985828985907328	1.0799998374869293
M00743	0.2295255919828336	0.13400567448082712	0.14866637010284253	0.08375672846670275
M00744	0.0015731269824827674	0.00014836263645816373	2.030557595744774e-05	0.0001668270937080246
M00745	0.010357377493545287	0.00365220478632101	0.0008919635150122616	0.001830759058323552
M00746	0.007624766758338777	6.44282340743569e-05	0.0	0.0015384822877686395
M00747	0.3986794126593907	0.37321713023154757	0.0678968251068474	0.13819758162095255
M00754	0.0018594940243148415	0.0028779474310217327	3.4467035541599287e-05	0.00017372227373416388
M00761	0.019860205469064855	0.012671787696960141	0.001588647924827466	0.004399185828152294
M00762	0.0005678971925393332	0.002275334690955445	0.0062972363644918285	0.0016868273610108043
M00763	0.0	0.0002684162161582189	9.999406723523387e-05	0.0
M00764	0.11962683381787034	0.07581135522534004	0.0056046604879487864	0.025980685810371957
M00765	0.00013319838178874952	0.00041827919986486833	0.0	0.0
M00766	0.0012094273996843814	0.0008493369941561497	0.00016600680668839974	6.721175767072036e-05
M00767	0.0034042589901347843	0.00019118501026144194	0.00014629590595158275	0.0004284415833746164
M00768	0.0569371510907874	0.03720672031632266	0.07890271299856254	0.07988913912765382
M00769	0.004449682609670436	2.0369281435219236e-05	0.0006475327212874311	0.0003359978781838719
M00770	0.0	5.628740327062455e-05	0.0	0.0
M00772	1.3630841594803482e-05	0.00015905768681907667	5.3039519149405734e-05	0.0
M00778	9.282476294160688e-05	0.00010146896117641248	9.720550657799831e-05	0.00018249917336705983
M00787	0.00010434917507004476	0.002477857415107121	4.973744791831433e-05	0.0001826634318583161
M00791	0.008326962574551957	0.007587089809862718	0.0007681087344954208	0.00045325005695272583
M00792	0.0002099742152554745	8.898451034830969e-05	0.000363730360996128	0.00031816000506085565
M00793	3.7340943665980517	4.1846788915611635	5.394702706483281	3.5976911713800903
M00798	0.0016679595151201892	0.0035976867240991623	0.025594742208490274	0.00533199147851193
M00799	0.0016679595151201892	0.0035976867240991623	0.025594742208490274	0.00533199147851193
M00800	0.0016679595151201892	0.0035976867240991623	0.025594742208490274	0.00533199147851193
M00801	0.0040440552615840925	0.013215430403897353	0.08552190414306844	0.01639428909324167
